WRN 2026-05-25T02:04:19.581 ui.2053    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-25T02:04:19.581 ui.2053    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-25T02:06:31.742 ui.326     tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-05-25T02:06:31.742 ui.326     tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-25T02:06:31.742 ui.326     tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-05-25T02:06:31.743 ui.326     tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-05-25T02:06:31.743 ui.326     tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-05-25T02:07:07.886 ui.761     tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-05-25T02:07:07.886 ui.761     tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-25T02:07:07.886 ui.761     tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-05-25T02:07:07.887 ui.761     tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-05-25T02:07:07.887 ui.761     tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-05-25T02:07:46.594 ui.911     tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-05-25T02:07:46.595 ui.911     tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-25T02:07:46.595 ui.911     tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-05-25T02:07:46.595 ui.911     tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-05-25T02:07:46.595 ui.911     tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-05-25T02:17:57.943 ui.2888    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-05-25T02:17:57.945 ui.2888    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-25T02:17:57.947 ui.2888    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-05-25T02:17:57.948 ui.2888    tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-05-25T02:17:57.949 ui.2888    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-05-25T02:19:07.568 ui.3785    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-05-25T02:19:07.571 ui.3785    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-25T02:19:07.571 ui.3785    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-05-25T02:19:07.571 ui.3785    tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-05-25T02:19:07.571 ui.3785    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-05-25T02:19:14.361 ui.3857    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-05-25T02:19:14.361 ui.3857    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-25T02:19:14.361 ui.3857    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-05-25T02:19:14.361 ui.3857    tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-05-25T02:19:14.361 ui.3857    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-05-25T02:20:23.576 ui.4924    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-05-25T02:20:23.577 ui.4924    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-25T02:20:23.578 ui.4924    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-05-25T02:20:23.580 ui.4924    tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-05-25T02:20:23.580 ui.4924    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
WRN 2026-05-25T02:20:36.816 ui.4997    tui_handle_term_mode:239: TUI: terminal mode 69 detected, state 2
WRN 2026-05-25T02:20:36.817 ui.4997    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-25T02:20:36.817 ui.4997    tui_handle_term_mode:239: TUI: terminal mode 2027 detected, state 3
WRN 2026-05-25T02:20:36.817 ui.4997    tui_handle_term_mode:226: TUI: terminal mode 2031 unavailable, state 0
WRN 2026-05-25T02:20:36.817 ui.4997    tui_handle_term_mode:226: TUI: terminal mode 2048 unavailable, state 0
